Show Name,Publisher,Category,Y,Original,Episode Count,Ad Pricing,:40-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",Number of Ad Slots,Ads Host Red?,Episode Day,Primary Country,Episodes Per Week,Host,Gender Distribution,28-45,Average HHI,Hosting,Platforms
Amazing Food,Pulse Media,Food & Cooking,Y,Original,216,"$3,897",:40-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Russia,1,Thomas Jackson,M - 29%,28-45,$448k,Megaphone,"Apple, Spotify"
Backstage Stories,Pulse Collective,Entertainment & Media,Y,Original,21,"$2,887",:40-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,South Africa,1,Elizabeth Miller,M - 88%,28-45,$174k,Megaphone,"Apple, Spotify"
Journey Food Voyage,Prime Group,General,Y,Original,58,"$3,789",:40-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Turkey,2,John Moore,F - 57%,28-45,$255k,Megaphone,Apple
Daily Business Wave,Pulse Casts,Business & Finance,Y,Original,130,"$1,116",:40-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,United Kingdom,1,Karen Williams,F - 15%,28-45,$278k,Megaphone,"Apple, Spotify"
Journey Health Sphere,Pulse Casts,Health & Wellness,Y,Original,248,"$1,489",:40-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Nigeria,1,Joseph Martinez,M - 37%,28-45,$167k,Megaphone,Spotify
Stories Business Echo,Peak Collective,Business & Finance,Y,Original,103,"$3,636",:40-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Mexico,1,Mary Thomas,M - 57%,28-45,$302k,Megaphone,"Apple, Spotify"
Journey Sports Path,Core Group,General,Y,Original,101,"$1,858",:40-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,France,1,Patricia Jones,F - 80%,28-45,$440k,Megaphone,Apple
Hour Science Scope,Star Media,General,Y,Original,227,"$2,419",:40-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Russia,1,Elizabeth Thomas,F - 67%,28-45,$298k,Megaphone,Spotify
Insights Sports Quest,Quill,General,Y,Original,247,$921,:40-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Italy,1,David Smith,M - 67%,28-45,$282k,Megaphone,Apple
Journey Tech Voyage,Next Channel,Technology,Y,Original,14,"$3,335",:40-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,United Kingdom,1,Sarah Thompson,F - 53%,28-45,$315k,Megaphone,Apple
Talks Sports Vision,Pulse Network,General,Y,Original,127,"$3,008",:40-61,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Germany,1,Linda Smith,M - 41%,28-46,$174k,Megaphone,Spotify
Stories History Sphere,Global Broadcasts,General,Y,Original,86,$599,:40-62,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Japan,1,David Thomas,M - 42%,28-47,$191k,Megaphone,Apple
Stories Entertainment Sphere,Global Broadcasts,Entertainment & Media,Y,Original,240,"$1,380",:40-63,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Tuesday,Japan,1,Elizabeth Moore,M - 58%,28-48,$324k,Megaphone,Apple
Daily Food Grid,Wondery,General,Y,Original,253,"$1,617",:40-64,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Egypt,3,Joseph Brown,F - 62%,28-49,$429k,Megaphone,"Apple, Spotify"
World Sports Quest,Echo Syndicate,General,Y,Original,66,"$1,129",:40-65,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Italy,1,Robert Miller,M - 79%,28-50,$397k,Megaphone,"Apple, Spotify"
